Id,salary
9000,890875
9001,175973
9002,748288
9003,510000
9004,410965
9005,480376
9006,788646
9007,842526
9008,680368
9009,224000
9010,731219
9011,958154
9012,915121
9013,650035
9014,280253
9015,363834
9016,424485
9017,861464
9018,645569
9019,631718
9020,600106
9021,245073
9022,900636
9023,640735
9024,273366
9025,319698
9026,539904
9027,988434
9028,938085
9029,178764
9030,506562
9031,380074
9032,166314
9033,657015
9034,512022
9035,149233
9036,510682
9037,116638
9038,319976
9039,389414
9040,415947
9041,252780
9042,117708
9043,961752
9044,870914
9045,751513
9046,169191
9047,322416
9048,195995
9049,837987
9050,505354
9051,554707
9052,628397
9053,309208
9054,628223
9055,418787
9056,614215
9057,804424
9058,761380
9059,313203
9060,130787
9061,898150
9062,343783
9063,309512
9064,552172
9065,375650
9066,729520
9067,340517
9068,680021
9069,989551
9070,681135
9071,669955
9072,996024
9073,716960
9074,948733
9075,497832
9076,287190
9077,598478
9078,345029
9079,272799
9080,490528
9081,962621
9082,961520
9083,230709
9084,223076
9085,669829
9086,401491
9087,902971
9088,547529
9089,432737
9090,926727
9091,423692
9092,182334
9093,933133
9094,203774
9095,419216
9096,139530
9097,897167
9098,122682
9099,290894
9100,556865
9101,733713
9102,233923
9103,781836
9104,907215
9105,199036
9106,443593
9107,224626
9108,358049
9109,434153
9110,572314
9111,738215
9112,338977
9113,150249
9114,157852
9115,664161
9116,147520
9117,706493
9118,411417
9119,778903
9120,818248
9121,574025
9122,687079
9123,278858
9124,970958
9125,926872
9126,696576
9127,925335
9128,892724
9129,323700
9130,554523
9131,845180
9132,604652
9133,191667
9134,898562
9135,630089
9136,650780
9137,650972
9138,985180
9139,230038
9140,718904
9141,963728
9142,751612
9143,588472
9144,765165
9145,692350
9146,881161
9147,481652
9148,653655
9149,799970
9150,169796
9151,964402
9152,208880
9153,604472
9154,155922
9155,264270
9156,686060
9157,734625
9158,461901
9159,184171
9160,999962
9161,156587
9162,623439
9163,398705
9164,882070
9165,977919
9166,382640
9167,473508
9168,918755
9169,409464
9170,662210
9171,516851
9172,100884
9173,655491
9174,549068
9175,445056
9176,748779
9177,633927
9178,371825
9179,360090
9180,578754
9181,375838
9182,128297
9183,810360
9184,890441
9185,980970
9186,961757
9187,792413
9188,827754
9189,411924
9190,852731
9191,239603
9192,832692
9193,282541
9194,389632
9195,621847
9196,626270
9197,845102
9198,154655
9199,639629
9200,655734
9201,427471
9202,214737
9203,385564
9204,139298
9205,191871
9206,625529
9207,673571
9208,344312
9209,151807
9210,534527
9211,477243
9212,264859
9213,651641
9214,946049
9215,894452
9216,738747
9217,879636
9218,747020
9219,602015
9220,197370
