Id,salary
9000,727424
9001,557312
9002,331520
9003,1000000
9004,140032
9005,431488
9006,106752
9007,158592
9008,360576
9009,433920
9010,158080
9011,910336
9012,888704
9013,897792
9014,929792
9015,498304
9016,148992
9017,406400
9018,388736
9019,493952
9020,335104
9021,732800
9022,400768
9023,659072
9024,887552
9025,806528
9026,925952
9027,950912
9028,183808
9029,854784
9030,887808
9031,517760
9032,119040
9033,616448
9034,347392
9035,278144
9036,505344
9037,357888
9038,413696
9039,290816
9040,993024
9041,956672
9042,484096
9043,160256
9044,432128
9045,400384
9046,509440
9047,1000000
9048,927872
9049,829184
9050,577792
9051,125440
9052,147840
9053,201600
9054,521728
9055,274432
9056,391680
9057,334848
9058,339456
9059,295808
9060,510592
9061,971136
9062,245888
9063,314112
9064,938496
9065,679680
9066,125952
9067,380800
9068,393984
9069,504576
9070,134016
9071,185984
9072,478464
9073,240256
9074,290560
9075,536320
9076,296448
9077,142720
9078,271872
9079,369152
9080,931840
9081,878592
9082,364800
9083,674944
9084,1000000
9085,756864
9086,313216
9087,124672
9088,638336
9089,354048
9090,810496
9091,672000
9092,201472
9093,536192
9094,672000
9095,535040
9096,492544
9097,712704
9098,717568
9099,468736
9100,844544
9101,443136
9102,338432
9103,518784
9104,152576
9105,271744
9106,569728
9107,378624
9108,984704
9109,612864
9110,971264
9111,779008
9112,419200
9113,143616
9114,899072
9115,937088
9116,189056
9117,441856
9118,135936
9119,966528
9120,413184
9121,274816
9122,760832
9123,542208
9124,506112
9125,807424
9126,1000000
9127,285824
9128,181504
9129,361728
9130,530816
9131,251648
9132,171904
9133,1000000
9134,893824
9135,514816
9136,826752
9137,909056
9138,642304
9139,668800
9140,248064
9141,512640
9142,561536
9143,1000000
9144,184192
9145,349440
9146,424320
9147,685312
9148,374400
9149,384768
9150,271616
9151,586880
9152,862976
9153,813824
9154,348800
9155,688384
9156,499840
9157,277248
9158,1000000
9159,161536
9160,998016
9161,546432
9162,937216
9163,674816
9164,969088
9165,965888
9166,423680
9167,1000000
9168,256000
9169,554624
9170,740352
9171,903808
9172,140672
9173,792576
9174,946944
9175,457216
9176,147200
9177,291584
9178,137728
9179,253696
9180,192384
9181,400128
9182,755712
9183,809216
9184,726912
9185,300672
9186,141184
9187,881152
9188,156672
9189,186752
9190,113152
9191,1000000
9192,348928
9193,835328
9194,636928
9195,178560
